Name,Discipline,Affiliation,Qualifition
Abdur Rehman Mashal,Information Technology,"Abasyn University, Peshawar",MS
Adnan Ali,Engineering Sciences,"Abasyn University, Peshawar",MS
Adnan Gul,Engineering Sciences,"Abasyn University, Peshawar",MS
Dr. Affaq Qamar,Engineering Sciences,"Abasyn University, Peshawar",Ph.D.
Dr. Ali Asghar Ghani,Health Sciences,"Abasyn University, Peshawar",Ph.D
Dr. Aman Khan,Health Sciences,"Abasyn University, Peshawar",Ph.D.
Dr. Amjad Khan,Health Sciences,"Abasyn University, Peshawar",Ph.D.
Dr. Aurangzeb,Social Sciences,"Abasyn University, Peshawar",Ph.D.
Azra,Biological Sciences,"Abasyn University, Peshawar",Mphil
Danyal Aziz,Environmental Sciences,"Abasyn University, Peshawar",MS
Eraj Pasha,Engineering Sciences,"Abasyn University, Peshawar",MS
Farhan Khan,Engineering Sciences,"Abasyn University, Peshawar",MS
Dr. Ghadir Ali,Biological Sciences,"Abasyn University, Peshawar",Ph.D. in Progress
Haris Qazi,Engineering Sciences,"Abasyn University, Peshawar",MS
Ihsan Ullah Khalil,Engineering Sciences,"Abasyn University, Peshawar",MS
Ihsan Ullah Khan Altaf,Biological Sciences,"Abasyn University, Peshawar",Mphil
Imran Raja Khan,Engineering Sciences,"Abasyn University, Peshawar",MS
Inam Ur Rehman,Engineering Sciences,"Abasyn University, Peshawar",MS
Irfan Ullah,Health Sciences,"Abasyn University, Peshawar",Mphil
Kashif Noor,Engineering Sciences,"Abasyn University, Peshawar",MS
Dr. Maher Bano,Social Sciences,"Abasyn University, Peshawar",Ph.D.
Manzoor Bahader,Information Technology,"Abasyn University, Peshawar",MS
Maria Kakar,Health Sciences,"Abasyn University, Peshawar",Mphil
Dr. Mehrin Sheerazi,Biological Sciences,"Abasyn University, Peshawar",Ph.D.
Mian Murtaza,Engineering Sciences,"Abasyn University, Peshawar",MS
Muhammad Abid Sherazi,Engineering Sciences,"Abasyn University, Peshawar",MS
Dr. Muhammad Akram Khattak,Chemical Sciences,"Abasyn University, Peshawar",Ph.D.
Dr. Muhammad Alam,Environmental Sciences,"Abasyn University, Peshawar",Ph.D.
Muhammad Asif,Engineering Sciences,"Abasyn University, Peshawar",MS
Muhammad Fahim,Information Technology,"Abasyn University, Peshawar",MS
Muhammad Furqan,Engineering Sciences,"Abasyn University, Peshawar",MS
Muhammad Haris Shams,Engineering Sciences,"Abasyn University, Peshawar",MS
Dr. Muhammad Medrar Hussain,Biological Sciences,"Abasyn University, Peshawar",Ph.D. in Progress
Muhammad Noman,Engineering Sciences,"Abasyn University, Peshawar",MS
Dr. Muhammad Rizwan,Biological Sciences,"Abasyn University, Peshawar",Ph.D. in Progress
Muhammad Saqib Ishaq,Biological Sciences,"Abasyn University, Peshawar",Mphil
Muhammad Shoaib,Engineering Sciences,"Abasyn University, Peshawar",MS
Mumammad Tariq,Engineering Sciences,"Abasyn University, Peshawar",MS
Dr. Naila Shahbaz,Health Sciences,"Abasyn University, Peshawar",Ph.D. in Progress
Nausheen Abdul Malik,Biological Sciences,"Abasyn University, Peshawar",Mphil
Naveed Khan,Engineering Sciences,"Abasyn University, Peshawar",MS
Nouman Altaf,Health Sciences,"Abasyn University, Peshawar",Mphil
Numan Ahmad,Engineering Sciences,"Abasyn University, Peshawar",MS
Qari Muhammad Musaib,Engineering Sciences,"Abasyn University, Peshawar",MS
Qurat-Ul-Ain,biological Sciences,"Abasyn University, Peshawar",Mphil
Saira,Biological Sciences,"Abasyn University, Peshawar",Mphil
Sajida Gul,Social Sciences,"Abasyn University, Peshawar",MS
Samee Ullah,Engineering Sciences,"Abasyn University, Peshawar",MS
Samina Rooh,Social Sciences,"Abasyn University, Peshawar",MS
Samina Zuhra,Mathematics & Statistics,"Abasyn University, Peshawar",Mphil
Dr. Shabeer Ahmad,Biological Sciences,"Abasyn University, Peshawar",Ph.D. in Progress
Shafi Ullah,Social Sciences,"Abasyn University, Peshawar",MS
Shahid Rasheed,Social Sciences,"Abasyn University, Peshawar",MS
Shakirullah,Engineering Sciences,"Abasyn University, Peshawar",MS
Sidra Farooq,Biological Sciences,"Abasyn University, Peshawar",Mphil
Dr. Sumaira Irum Khan,biological Sciences,"Abasyn University, Peshawar",Ph.D. in progress
Syed Qaisar Shah,Engineering Sciences,"Abasyn University, Peshawar",MS
Syed Shafiq Ahmed Shah,Engineering Sciences,"Abasyn University, Peshawar",MS
Dr. Syed Umar Farooq,Social Sciences,"Abasyn University, Peshawar",Ph.D.
Tahir,Engineering Sciences,"Abasyn University, Peshawar",MS
Dr. Tahir Mehmood Khan,Health Sciences,"Abasyn University, Peshawar",Ph.D.
Dr. Umar Farooq Sahibzada,Physics,"Abasyn University, Peshawar",Ph.D. in Progress
Usman Amjad,Engineering Sciences,"Abasyn University, Peshawar",MS
Dr. Waqas Ahmad Imtiaz,Engineering Sciences,"Abasyn University, Peshawar",Ph.D.
Waqas Ahmad Khan,Social Sciences,"Abasyn University, Peshawar",MS
Wasi Ullah,Information Technology,"Abasyn University, Peshawar",MS
Yousaf Jan Khan,Agricultural Sciences,"Abasyn University, Peshawar",MS
Dr. Zahid Saleem,Engineering Sciences,"Abasyn University, Peshawar",Ph.D.
Dr. Zakia Ali,Social Sciences,"Abasyn University, Peshawar",Ph.D.
Dr. Zobia Afsheen,Biological Sciences,"Abasyn University, Peshawar",Ph.D. in Progress
Dr. Najamuddin,Health Sciences,"Abbasi Shaheed Hospital, Karachi",MBBS
Dr. Noureen Zafar,Health Sciences,"Abbasi Shaheed Hospital, Karachi",MBBS
Dr. Iftikhar Ahmad,Physics,"Abbottabad University of Science and Technology(AUST), Abbottabad",
Dr. Javed Iqbal,Earth Sciences,"Abbottabad University of Science and Technology(AUST), Abbottabad",
Dr. Muhammad Shafiq,Physics,"Abbottabad University of Science and Technology(AUST), Abbottabad",
Dr. Shumaila Sadiq,Agricultural Sciences,"Abbottabad University of Science and Technology(AUST), Abbottabad",
Dr. Hidayat Ullah,Agricultural Sciences,"Abdul Wali Khan University Mardan (AWKUM),  Swabi Campus",
Dr. Ibadullah Jan,Agricultural Sciences,"Abdul Wali Khan University Mardan (AWKUM),  Swabi Campus",
Dr. Abbas Khan,Chemical Sciences,"Abdul Wali Khan University Mardan (AWKUM), Mardan",Ph.D.
Dr. Abdul Ghafar,Social Sciences,"Abdul Wali Khan University Mardan (AWKUM), Mardan",Ph.D.
Dr. Abdul Sajid,Biological Sciences,"Abdul Wali Khan University Mardan (AWKUM), Mardan",Ph.D.
Dr. Abdul Wadood,Biological Sciences,"Abdul Wali Khan University Mardan (AWKUM), Mardan",Ph.D.
Dr. Abzahir Khan,Social Sciences,"Abdul Wali Khan University Mardan (AWKUM), Mardan",Ph.D.
Dr. Adil Hussain,Biological Sciences,"Abdul Wali Khan University Mardan (AWKUM), Mardan",Ph.D.
Adil Kakakhel,Information Technology,"Abdul Wali Khan University Mardan (AWKUM), Mardan",MS
