list_category,book_title,author_name,date,book_link,author_link,link
,Divine Songs,Isaac Watts,1715,https://en.wikipedia.org/wiki/Divine_Songs_(Watts),N/A,
,A Description of Three Hundred Animals,Thomas Boreman,1730,https://en.wikipedia.org/w/index.php?title=A_Description_of_Three_Hundred_Animals&action=edit&redlink=1,N/A,
,The Gigantick History of the Two Famous Giants,Thomas Boreman,1730,N/A,N/A,
,A Little Pretty Pocket-Book,John Newbery,1744,https://en.wikipedia.org/wiki/A_Little_Pretty_Pocket-Book,N/A,
,"The Governess, or The Little Female Academy",Sarah Fielding,1749,"https://en.wikipedia.org/wiki/The_Governess,_or_The_Little_Female_Academy",N/A,
,The History of Little Goody Two-Shoes,John Newbery,1765,https://en.wikipedia.org/wiki/The_History_of_Little_Goody_Two-Shoes,N/A,
,The Parables of Our Lord and Saviour Jesus Christ,Christopher Smart,1768,https://en.wikipedia.org/wiki/The_Parables_of_Our_Lord_and_Saviour_Jesus_Christ_(book),N/A,
,Hymns for the Amusement of Children,Christopher Smart,1771,https://en.wikipedia.org/wiki/Hymns_for_the_Amusement_of_Children,N/A,
,Lessons for Children,Anna Laetitia Barbauld,N/A,https://en.wikipedia.org/wiki/Lessons_for_Children,N/A,
,An Easy Introduction to the Knowledge of Nature,Sarah Trimmer,1780,https://en.wikipedia.org/w/index.php?title=An_Easy_Introduction_to_the_Knowledge_of_Nature&action=edit&redlink=1,N/A,
,Hymns in Prose for Children,Anna Laetitia Barbauld,1781,https://en.wikipedia.org/wiki/Hymns_in_Prose_for_Children,N/A,
,Sacred Dramas,Hannah More,N/A,https://en.wikipedia.org/w/index.php?title=Sacred_Dramas&action=edit&redlink=1,N/A,
,The Life and Perambulation of a Mouse,Dorothy Kilner,1783,https://en.wikipedia.org/wiki/The_Life_and_Perambulation_of_a_Mouse,N/A,
,Cobwebs to Catch Flies,Ellenor Fenn,1783,https://en.wikipedia.org/wiki/Cobwebs_to_Catch_Flies,N/A,
,The History of Sandford and Merton,Thomas Day,N/A,https://en.wikipedia.org/wiki/The_History_of_Sandford_and_Merton,N/A,
,Anecdotes of a Boarding School,Dorothy Kilner,1784,N/A,N/A,
,The Female Guardian,Ellenor Fenn,1784,N/A,N/A,
,A Description of a Set of Prints of Scripture History,Sarah Trimmer,1786,N/A,N/A,
,Fabulous Histories,Sarah Trimmer,1786,https://en.wikipedia.org/wiki/Fabulous_Histories,N/A,
,The History of Little Jack,Thomas Day,1788,N/A,N/A,
,Original Stories from Real Life,Mary Wollstonecraft,1788,https://en.wikipedia.org/wiki/Original_Stories_from_Real_Life,N/A,
,The Parent's Assistant,Maria Edgeworth,1796,https://en.wikipedia.org/wiki/The_Parent%27s_Assistant,N/A,
,Adventures of a Pincushion,Mary Ann Kilner,N/A,N/A,N/A,
,Evenings at Home,John Aikin,N/A,https://en.wikipedia.org/wiki/Evenings_at_Home,N/A,
,Keeper’s Travels in Search of His Master,Edward Augustus Kendall,1798,https://en.wikipedia.org/wiki/Keeper%E2%80%99s_Travels_in_Search_of_His_Master,N/A,
,The Rational Brutes,Dorothy Kilner,1799,https://en.wikipedia.org/w/index.php?title=The_Rational_Brutes&action=edit&redlink=1,N/A,
,Moral Tales for Young People,Maria Edgeworth,1801,https://en.wikipedia.org/w/index.php?title=Moral_Tales_for_Young_People&action=edit&redlink=1,N/A,
,Tommy Thumb's Pretty Song Book,Mary Cooper,1744,https://en.wikipedia.org/wiki/Tommy_Thumb%27s_Pretty_Song_Book,N/A,
,A Little Book for Little Children,N/A,1702,https://en.wikipedia.org/w/index.php?title=A_Little_Book_for_Little_Children&action=edit&redlink=1,N/A,
,A Token for Children,James Janeway,1709,https://en.wikipedia.org/wiki/A_Token_for_Children,N/A,
,Winter-Evening Entertainments,Nathaniel Crouch,1737,https://en.wikipedia.org/w/index.php?title=Winter-Evening_Entertainments&action=edit&redlink=1,N/A,
,The History of Fortunatus,Thomas Churchyard,1740,https://en.wikipedia.org/w/index.php?title=The_History_of_Fortunatus&action=edit&redlink=1,N/A,
,The Lilliputian magazine,John Newbery,1752,https://en.wikipedia.org/w/index.php?title=The_Lilliputian_magazine&action=edit&redlink=1,N/A,
,Books in the United Kingdom,N/A,N/A,N/A,N/A,
,v,N/A,N/A,N/A,N/A,
,t,N/A,N/A,N/A,N/A,
,e,N/A,N/A,N/A,N/A,
,Authors,N/A,N/A,N/A,N/A,
,Titles,N/A,N/A,N/A,N/A,
,Illustrators,N/A,N/A,N/A,N/A,
,Publishers,N/A,N/A,N/A,N/A,
,Authors,N/A,N/A,N/A,N/A,
,Titles,N/A,N/A,N/A,N/A,
,Illustrators,N/A,N/A,N/A,N/A,
,v,N/A,N/A,N/A,N/A,
,t,N/A,N/A,N/A,N/A,
,e,N/A,N/A,N/A,N/A,
,18th-century British children's literature titles,N/A,N/A,N/A,N/A,
,19th-century British children's literature titles,N/A,N/A,N/A,N/A,
,British children's and young adults' literature titles (1900–49),N/A,N/A,N/A,N/A,
,American children's books,N/A,N/A,N/A,N/A,
,Books written by children or teenagers,N/A,N/A,N/A,N/A,
,Canadian children's books,N/A,N/A,N/A,N/A,
,Children's books featuring deaf characters,N/A,N/A,N/A,N/A,
,Children's books made into feature films,N/A,N/A,N/A,N/A,
,Dumpy books,N/A,N/A,N/A,N/A,
,Early Puffin Story Books,N/A,N/A,N/A,N/A,
,Beechwood Bunny Tales,N/A,N/A,N/A,N/A,
,Berenstain Bears,N/A,N/A,N/A,N/A,
,Enid Blyton,N/A,N/A,N/A,N/A,
,Veronica Bonilla,N/A,N/A,N/A,N/A,
,Charles Hamilton,N/A,N/A,N/A,N/A,
,Dr. Seuss,N/A,N/A,N/A,N/A,
,Fairy tales,N/A,N/A,N/A,N/A,
,Children's literature authors,N/A,N/A,N/A,N/A,
,Children's non-fiction writers,N/A,N/A,N/A,N/A,
,Children's book illustrators,N/A,N/A,N/A,N/A,
,18th-century British children's literature illustrators,N/A,N/A,N/A,N/A,
,19th-century British children's literature illustrators,N/A,N/A,N/A,N/A,
,Early-20th-century British children's literature illustrators,N/A,N/A,N/A,N/A,
,Publishers of children's books,N/A,N/A,N/A,N/A,
,Lists of books,N/A,N/A,N/A,N/A,
,,Category,N/A,N/A,https://en.wikipedia.org/wiki/Category:Lists_of_children%27s_books,
